noise_type,round,max_noise,clean_trace
white,4,0.31419944763183594,-1.8729389528590659
bitflip,4,0.07904815673828125,-1.8729389528590659
white,8,0.32537174224853516,-1.9396704930079247
bitflip,8,0.05041694641113281,-1.9396704930079247
white,12,0.3045930862426758,-1.8159153340696466
bitflip,12,0.05634307861328125,-1.8159153340696466
white,16,0.12184906005859375,-0.7241214433911989
bitflip,16,0.025818824768066406,-0.7241214433911989
white,20,0.45987701416015625,-2.7331667144184895
bitflip,20,0.08818817138671875,-2.7331667144184895
white,24,0.3592691421508789,-2.1353911380626314
bitflip,24,0.05485057830810547,-2.1353911380626314
white,28,0.06702232360839844,-0.39190027578220493
bitflip,28,0.008970260620117188,-0.39190027578220493
white,32,0.3688058853149414,-2.1695516465647864
bitflip,32,0.05401039123535156,-2.1695516465647864
white,36,0.4417991638183594,-2.595429256157316
bitflip,36,0.07386016845703125,-2.595429256157316
white,40,0.3471488952636719,-2.0540535952930297
bitflip,40,0.09106826782226562,-2.0540535952930297
white,44,0.007686614990234375,-0.04548133430972552
bitflip,44,0.0020456314086914062,-0.04548133430972552
white,48,0.4448356628417969,-2.632163055998272
bitflip,48,0.0832204818725586,-2.632163055998272
white,52,0.3923778533935547,-2.3281395579249393
bitflip,52,0.07072067260742188,-2.3281395579249393
white,56,0.23969078063964844,-1.4223265155665212
bitflip,56,0.09108734130859375,-1.4223265155665212
white,60,0.17138004302978516,-1.014099832426584
bitflip,60,0.0765981674194336,-1.014099832426584
white,64,0.38423919677734375,-2.27829614271743
bitflip,64,0.07486248016357422,-2.27829614271743
white,68,0.3444194793701172,-2.0417005285941863
bitflip,68,0.05122566223144531,-2.0417005285941863
white,72,0.03405475616455078,-0.20181036659235893
bitflip,72,0.0056476593017578125,-0.20181036659235893
white,76,0.329498291015625,-1.9527754601128582
bitflip,76,0.06424236297607422,-1.9527754601128582
white,80,0.4572467803955078,-2.6792573568597833
bitflip,80,0.0790414810180664,-2.6792573568597833
white,84,0.31497669219970703,-1.856701882726977
bitflip,84,0.05302619934082031,-1.856701882726977
white,88,0.03032398223876953,-0.1789906113738875
bitflip,88,0.004418373107910156,-0.1789906113738875
white,92,0.3490018844604492,-2.108141246439138
bitflip,92,0.051207542419433594,-2.108141246439138
white,96,0.40997886657714844,-2.4767972976746853
bitflip,96,0.08086299896240234,-2.4767972976746853
white,100,0.1768484115600586,-1.071813772736919
bitflip,100,0.06446647644042969,-1.071813772736919
white,104,0.24059581756591797,-1.4546995638511262
bitflip,104,0.07129573822021484,-1.4546995638511262
white,108,0.37848377227783203,-2.2886520334796083
bitflip,108,0.0650482177734375,-2.2886520334796083
white,112,0.41696643829345703,-2.521666996188653
bitflip,112,0.08535575866699219,-2.521666996188653
white,116,0.007037162780761719,-0.04257650623832312
bitflip,116,0.0023651123046875,-0.04257650623832312
white,120,0.32935619354248047,-2.0139159345420934
bitflip,120,0.089874267578125,-2.0139159345420934
white,124,0.44094371795654297,-2.695657673007129
bitflip,124,0.0744791030883789,-2.695657673007129
white,128,0.3763771057128906,-2.3014310325401173
bitflip,128,0.05828285217285156,-2.3014310325401173
white,132,0.06923294067382812,-0.4235416589535889
bitflip,132,0.010243415832519531,-0.4235416589535889
white,136,0.4413909912109375,-2.6955697871775643
bitflip,136,0.07449817657470703,-2.6955697871775643
white,140,0.5100278854370117,-3.10959921027292
bitflip,140,0.09622001647949219,-3.10959921027292
white,144,0.11392974853515625,-0.6992626335230906
bitflip,144,0.02008342742919922,-0.6992626335230906
white,148,0.31102466583251953,-1.909126043307247
bitflip,148,0.05136871337890625,-1.909126043307247
white,152,0.3940086364746094,-2.409913707665324
bitflip,152,0.0633249282836914,-2.409913707665324
white,156,0.3273591995239258,-2.0030212972390444
bitflip,156,0.08511924743652344,-2.0030212972390444
