noise_type,round,max_noise,clean_trace,hamiltonian
white,4,0.1760396957397461,-1.028208208976244,H5
bitflip,4,0.05058860778808594,-1.028208208976244,H5
white,8,0.38147926330566406,-2.1392728101568945,H5
bitflip,8,0.08740901947021484,-2.1392728101568945,H5
white,12,0.3933095932006836,-2.12366681748114,H5
bitflip,12,0.08945655822753906,-2.12366681748114,H5
white,16,0.4298543930053711,-2.307669128786068,H5
bitflip,16,0.10184383392333984,-2.307669128786068,H5
white,20,0.4169635772705078,-2.2164959228460006,H5
bitflip,20,0.09744834899902344,-2.2164959228460006,H5
white,24,0.4545478820800781,-2.4132300088586494,H5
bitflip,24,0.11519432067871094,-2.4132300088586494,H5
white,28,0.37761974334716797,-1.9943796006250682,H5
bitflip,28,0.08177375793457031,-1.9943796006250682,H5
white,32,0.35733890533447266,-1.874776499359807,H5
bitflip,32,0.07396125793457031,-1.874776499359807,H5
white,36,0.4163990020751953,-2.1687606702942084,H5
bitflip,36,0.09138965606689453,-2.1687606702942084,H5
white,40,0.5172882080078125,-2.6892846593734743,H5
bitflip,40,0.11240005493164062,-2.6892846593734743,H5
white,44,0.5349292755126953,-2.7639368589750433,H5
bitflip,44,0.11568641662597656,-2.7639368589750433,H5
white,48,0.4904012680053711,-2.5353352044065143,H5
bitflip,48,0.11049556732177734,-2.5353352044065143,H5
white,52,0.2797861099243164,-1.4535469110577535,H5
bitflip,52,0.051792144775390625,-1.4535469110577535,H5
white,56,0.4000205993652344,-2.071814181619476,H5
bitflip,56,0.0864715576171875,-2.071814181619476,H5
white,60,0.43109989166259766,-2.2310883812005766,H5
bitflip,60,0.10151004791259766,-2.2310883812005766,H5
white,64,0.41656970977783203,-2.167191306748648,H5
bitflip,64,0.09464073181152344,-2.167191306748648,H5
white,68,0.5327653884887695,-2.766485721150825,H5
bitflip,68,0.13288307189941406,-2.766485721150825,H5
white,72,0.5319643020629883,-2.7569071754022643,H5
bitflip,72,0.11610126495361328,-2.7569071754022643,H5
white,76,0.5221786499023438,-2.7251930698379683,H5
bitflip,76,0.11166572570800781,-2.7251930698379683,H5
white,80,0.5031557083129883,-2.6186780122735436,H5
bitflip,80,0.11669635772705078,-2.6186780122735436,H5
white,84,0.4483060836791992,-2.3166461846638224,H5
bitflip,84,0.10411262512207031,-2.3166461846638224,H5
white,88,0.4682941436767578,-2.443918492717091,H5
bitflip,88,0.10605621337890625,-2.443918492717091,H5
white,92,0.3659353256225586,-1.8974484660268902,H5
bitflip,92,0.07181835174560547,-1.8974484660268902,H5
white,96,0.3647432327270508,-1.880958789160777,H5
bitflip,96,0.06905841827392578,-1.880958789160777,H5
white,100,0.5081653594970703,-2.6088372969373204,H5
bitflip,100,0.10935020446777344,-2.6088372969373204,H5
white,104,0.45696163177490234,-2.326763677399229,H5
bitflip,104,0.09780693054199219,-2.326763677399229,H5
white,108,0.5212688446044922,-2.6363647654723135,H5
bitflip,108,0.11743831634521484,-2.6363647654723135,H5
white,112,0.5271091461181641,-2.661669726436561,H5
bitflip,112,0.11279773712158203,-2.661669726436561,H5
white,116,0.5266122817993164,-2.6255875779505295,H5
bitflip,116,0.11676788330078125,-2.6255875779505295,H5
white,120,0.5340251922607422,-2.6768714326075167,H5
bitflip,120,0.12705039978027344,-2.6768714326075167,H5
white,124,0.4179821014404297,-2.0565476581700404,H5
bitflip,124,0.08724212646484375,-2.0565476581700404,H5
white,128,0.3791046142578125,-1.8618932878070724,H5
bitflip,128,0.08050060272216797,-1.8618932878070724,H5
white,132,0.502589225769043,-2.4763485527019764,H5
bitflip,132,0.11306571960449219,-2.4763485527019764,H5
white,136,0.5118904113769531,-2.5219649525535353,H5
bitflip,136,0.11766242980957031,-2.5219649525535353,H5
white,140,0.5366582870483398,-2.6240731124185874,H5
bitflip,140,0.11887454986572266,-2.6240731124185874,H5
white,144,0.5181922912597656,-2.547101581990927,H5
bitflip,144,0.10811614990234375,-2.547101581990927,H5
white,148,0.46688270568847656,-2.2981760871237835,H5
bitflip,148,0.09976482391357422,-2.2981760871237835,H5
white,152,0.4550495147705078,-2.232787224473768,H5
bitflip,152,0.10147380828857422,-2.232787224473768,H5
white,156,0.5083131790161133,-2.4963195352771668,H5
bitflip,156,0.11382675170898438,-2.4963195352771668,H5
white,160,0.5209064483642578,-2.56891306945511,H5
bitflip,160,0.10705089569091797,-2.56891306945511,H5
white,164,0.527369499206543,-2.6002178744126927,H5
bitflip,164,0.11170578002929688,-2.6002178744126927,H5
white,168,0.510350227355957,-2.5003771760139792,H5
bitflip,168,0.10950946807861328,-2.5003771760139792,H5
white,172,0.4704599380493164,-2.301355193399794,H5
bitflip,172,0.10692501068115234,-2.301355193399794,H5
white,176,0.4122190475463867,-2.0083640518329213,H5
bitflip,176,0.09469032287597656,-2.0083640518329213,H5
white,180,0.4256763458251953,-2.059538764847107,H5
bitflip,180,0.08935165405273438,-2.059538764847107,H5
white,184,0.31264591217041016,-1.5043464001674713,H5
bitflip,184,0.05813407897949219,-1.5043464001674713,H5
white,188,0.3811779022216797,-1.8376529190625284,H5
bitflip,188,0.07477378845214844,-1.8376529190625284,H5
white,192,0.49060916900634766,-2.3798720874749755,H5
bitflip,192,0.1064767837524414,-2.3798720874749755,H5
white,196,0.4737834930419922,-2.276436746952986,H5
bitflip,196,0.10337352752685547,-2.276436746952986,H5
white,200,0.4825735092163086,-2.3075547057851935,H5
bitflip,200,0.10162353515625,-2.3075547057851935,H5
white,204,0.4400777816772461,-2.0945859014189536,H5
bitflip,204,0.08772563934326172,-2.0945859014189536,H5
white,208,0.5164985656738281,-2.4649200261608653,H5
bitflip,208,0.11167335510253906,-2.4649200261608653,H5
white,212,0.44019126892089844,-2.1062365019009603,H5
bitflip,212,0.0977163314819336,-2.1062365019009603,H5
white,216,0.4539937973022461,-2.1738999636830343,H5
bitflip,216,0.09382247924804688,-2.1738999636830343,H5
white,220,0.4968070983886719,-2.3850923727327844,H5
bitflip,220,0.10511970520019531,-2.3850923727327844,H5
white,224,0.43186092376708984,-2.062688493408574,H5
bitflip,224,0.08307456970214844,-2.062688493408574,H5
white,228,0.4397010803222656,-2.1089704099824367,H5
bitflip,228,0.09311485290527344,-2.1089704099824367,H5
white,232,0.4215726852416992,-1.991948806175806,H5
bitflip,232,0.08502864837646484,-1.991948806175806,H5
white,236,0.49947547912597656,-2.3268922614461776,H5
bitflip,236,0.10772228240966797,-2.3268922614461776,H5
white,240,0.4432392120361328,-2.0704430580853157,H5
bitflip,240,0.09630584716796875,-2.0704430580853157,H5
white,244,0.48703479766845703,-2.2712989156272947,H5
bitflip,244,0.10898590087890625,-2.2712989156272947,H5
white,248,0.43097686767578125,-1.9799468811558434,H5
bitflip,248,0.09589099884033203,-1.9799468811558434,H5
white,252,0.4012184143066406,-1.850146851173484,H5
bitflip,252,0.08550071716308594,-1.850146851173484,H5
white,256,0.5041475296020508,-2.3196648173535768,H5
bitflip,256,0.10906600952148438,-2.3196648173535768,H5
white,260,0.4601583480834961,-2.120727127803521,H5
bitflip,260,0.09700489044189453,-2.120727127803521,H5
white,264,0.4791450500488281,-2.1777998681402804,H5
bitflip,264,0.09116840362548828,-2.1777998681402804,H5
white,268,0.4801492691040039,-2.181963104923094,H5
bitflip,268,0.09829998016357422,-2.181963104923094,H5
white,272,0.4282674789428711,-1.9366711508302048,H5
bitflip,272,0.09219074249267578,-1.9366711508302048,H5
white,276,0.3421611785888672,-1.5576028015924184,H5
bitflip,276,0.07240486145019531,-1.5576028015924184,H5
white,280,0.2951078414916992,-1.349612742634633,H5
bitflip,280,0.06514358520507812,-1.349612742634633,H5
white,284,0.43705272674560547,-1.9537504705188726,H5
bitflip,284,0.09172630310058594,-1.9537504705188726,H5
white,288,0.46736621856689453,-2.0853956276655907,H5
bitflip,288,0.09626102447509766,-2.0853956276655907,H5
white,292,0.5008716583251953,-2.2316589417217396,H5
bitflip,292,0.10622882843017578,-2.2316589417217396,H5
white,296,0.45467185974121094,-2.021254074422875,H5
bitflip,296,0.1044931411743164,-2.021254074422875,H5
